child,parent,colour,sex,dob
EWSHOT LIFFEY,ENDACOTT SPINDLE,BLACK,Male,31 March 1988
FT CH SWINBROOK TWIG,ENDACOTT'S QUEEN,BLACK,Male,08 May 1984
CHIPPINGHURST PTMARMAGIN,ENDACOTT'S QUEEN,BLACK,Female,03 March 1984
FT CH SHINSHAIL APACHE,CHIPPINGHURST PTMARMAGIN,BLACK,Male,12 May 1978
CALCOT LANCE,CHIPPINGHURST PTMARMAGIN,BLACK,Female,19 August 1981
CHILTIHIGHURST CINDY,CALCOT LANCE,?,Female,01 January 0001
FT CH ABBOTSLEIGH LYNX,CALCOT LANCE,BLACK,Male,17 February 1978
FT CH SWINBROOK TAN,CHILTIHIGHURST CINDY,?,Male,01 January 0001
SUSAN OF BRACKENBANK,FT CH ABBOTSLEIGH LYNX,?,Female,01 January 0001
ABBOTSLEIGH IVAN,FT CH ABBOTSLEIGH LYNX,BLACK,Male,14 May 1974
FT CH HOLDGATE WILLIE,ABBOTSLEIGH IVAN,BLACK,Male,06 June 1969
ABBOTSLEIGH GALA,ABBOTSLEIGH IVAN,?,Female,01 January 0001
ASHE WARREN CASSIE,EWSHOT LIFFEY,BLACK,Female,28 March 1985
PALGRAVE TRITON,EWSHOT LIFFEY,BLACK,Male,08 June 1984
FT CH LEACROSS RINKALS,ASHE WARREN CASSIE,BLACK,Male,26 March 1976
KILLYLEAGH WANDA,ASHE WARREN CASSIE,?,Female,26 May 1980
FT CH PALGRAVE HOLLY,PALGRAVE TRITON,BLACK,Female,01 February 1976
FT CH SHOT OF PALGRAVE,PALGRAVE TRITON,BLACK,Male,26 May 1974
FT CH POCKLEA REMUS,FT CH GLENBRIAR SOLO,BLACK,Male,11 May 1986
IR FT CH GLENBRIAR QUEST,FT CH GLENBRIAR SOLO,BLACK,Female,09 April 1988
IR FT CH GLENBRIAR SKIPPY,IR FT CH GLENBRIAR QUEST,BLACK,Female,09 May 1985
KNIGHTHAWK OF GLENBRIAR,IR FT CH GLENBRIAR QUEST,BLACK,Male,29 January 1987
PALGRAVE SLIPPERY SUE,KNIGHTHAWK OF GLENBRIAR,BLACK,Female,21 February 1983
PALGRAVE KITE,KNIGHTHAWK OF GLENBRIAR,BLACK,Male,05 May 1978
